Epoch,Composite Loss,PDE Loss,w0 Loss,wx0 Loss,wL Loss,wxxL Loss,wxxxL Loss
13,3.6297507904237136e-05,1.8148752133129165e-05,1.2437216355465353e-05,7.104240040689547e-08,8.326534839397937e-07,1.2498431090079976e-07,4.2704282350314315e-06
14,3.570143962861039e-05,1.7850719814305194e-05,1.204779891850194e-05,7.40943661980964e-08,8.642563784633239e-07,1.3258272701932583e-07,4.332455773692345e-06
15,3.50829322997015e-05,1.754146614985075e-05,1.1667946637317073e-05,7.734147544624648e-08,8.91935201252636e-07,1.372113729303237e-07,4.376940523798112e-06
16,3.444079266046174e-05,1.722039633023087e-05,1.1293753232166637e-05,8.02616355599639e-08,9.082898486667546e-07,1.4098606015977566e-07,4.414686372911092e-06
17,3.377795292180963e-05,1.6888976460904814e-05,1.0929809832305182e-05,8.063921086431947e-08,9.176162052426662e-07,1.446407935645766e-07,4.4368134695105255e-06
18,3.309754902147688e-05,1.654877451073844e-05,1.0571292477834504e-05,8.022738029467291e-08,9.197625558954314e-07,1.4434712625188695e-07,4.451293989404803e-06
19,3.240176010876894e-05,1.620088005438447e-05,1.0224905963696074e-05,7.849489236377849e-08,9.126583790930454e-07,1.429629179483527e-07,4.450783308129758e-06
20,3.1690979085396975e-05,1.5845489542698488e-05,9.89264026429737e-06,7.568921489564673e-08,8.962807100942882e-07,1.398059907842253e-07,4.4342741603031754e-06
21,3.096268847002648e-05,1.548134423501324e-05,9.575906005920842e-06,7.199315632533398e-08,8.702295986040554e-07,1.352483849359487e-07,4.400487341627013e-06
22,3.02145544992527e-05,1.510727724962635e-05,9.272084753320087e-06,6.807365338090676e-08,8.358577474609774e-07,1.2899420198664302e-07,4.3513105083548e-06
23,2.944587504316587e-05,1.4722935702593531e-05,8.974421689345036e-06,6.412142283807043e-08,7.954892566885974e-07,1.215703662182932e-07,4.29200372309424e-06
24,2.865856367861852e-05,1.432928183930926e-05,8.674051969137508e-06,6.038377620143365e-08,7.528832384195994e-07,1.1327640692115892e-07,4.228735633660108e-06
25,2.7853295250679366e-05,1.3926647625339683e-05,8.366521797142923e-06,5.685184234494045e-08,7.09815878963127e-07,1.0449854670468994e-07,4.164325218880549e-06
26,2.7022122594644316e-05,1.3511061297322158e-05,8.059599167609122e-06,5.116303114505172e-08,6.62118566197023e-07,9.731580519201088e-08,4.092875769856619e-06
27,2.619717997731641e-05,1.3098589988658205e-05,7.752565579721704e-06,4.684708443392083e-08,6.168575623632933e-07,9.157830760386787e-08,4.019904736196622e-06
28,2.5376471967319958e-05,1.2688237802649383e-05,7.447447842423571e-06,4.406657083677601e-08,5.755794632023026e-07,8.354529512644149e-08,3.944045147363795e-06
29,2.4598366508143954e-05,1.2299184163566679e-05,7.166352133936016e-06,4.259642949477893e-08,5.356548626878066e-07,8.395111450454351e-08,3.85677276426577e-06
30,2.3889619114925154e-05,1.1944809557462577e-05,6.921370186319109e-06,4.322671642853493e-08,4.976881200491334e-07,9.874960227307383e-08,3.7536460695264395e-06
31,2.3305277863983065e-05,1.1652638931991532e-05,6.723960268573137e-06,4.877171022599214e-08,4.645139313197433e-07,1.4194985453741538e-07,3.633041387729463e-06
32,2.2470718249678612e-05,1.1235359124839306e-05,6.504519205918768e-06,4.1337376188721464e-08,4.2448047565812885e-07,9.48874330219951e-08,3.5219929941376904e-06
33,2.1840738554601558e-05,1.0920369277300779e-05,6.34665775578469e-06,4.0423650204957084e-08,3.901863010469242e-07,9.374983989118846e-08,3.402830316190375e-06
34,2.1140409444342367e-05,1.0570204722171184e-05,6.209604634932475e-06,3.189325781249863e-08,3.4761379197334463e-07,7.802641022180978e-08,3.2668369840394007e-06
35,2.255483741464559e-05,1.1277416888333391e-05,6.313496669463348e-06,1.663490252212796e-07,4.406497851050517e-07,5.500656357071421e-07,3.173073764628498e-06
36,2.111157482431736e-05,1.055578741215868e-05,6.157464213174535e-06,1.0375942594009757e-07,3.441419949012925e-07,3.4165913120887126e-07,3.0037867873033974e-06
37,2.0035151464981027e-05,1.0017574822995812e-05,5.985038569633616e-06,6.41524806610505e-08,2.8504894089564914e-07,1.9130939676870184e-07,2.9120164981577545e-06
38,1.9335519027663395e-05,9.667759513831697e-06,5.866562787559815e-06,4.721993818179726e-08,2.4546497456867655e-07,1.3785167141122656e-07,2.8186457257106667e-06
39,1.8752880350803025e-05,9.37643926590681e-06,5.7726633713173214e-06,3.7734867674998895e-08,2.131831422502728e-07,1.1044041059449228e-07,2.7134651645610575e-06
40,1.8234954040963203e-05,9.117477929976303e-06,5.700308520317776e-06,3.204626963793089e-08,1.8553646441432647e-07,9.430746672478563e-08,2.5990138965426013e-06
41,1.7678659787634388e-05,8.839329893817194e-06,5.621668151434278e-06,2.3421085515451523e-08,1.580237807274898e-07,6.205888070098808e-08,2.4912203571147984e-06
42,1.7139376723207533e-05,8.569688361603767e-06,5.536200660571922e-06,1.5534375563674985e-08,1.3332103776519943e-07,2.7188617579554375e-08,2.397214302618522e-06
43,1.6657986634527333e-05,8.328993317263667e-06,5.473446890391642e-06,8.710749455076439e-09,1.107827500845815e-07,1.4593138253360394e-08,2.288044697706937e-06
44,1.6427085938630626e-05,8.213542969315313e-06,5.416731710283784e-06,2.261882237064583e-08,1.0606828482195851e-07,5.183299123245888e-08,2.2037222606741125e-06
45,1.8120121239917353e-05,9.060060619958676e-06,5.60447870157077e-06,1.7493889004072116e-07,2.1272057892929297e-07,5.860062515239406e-07,2.0940212834830163e-06
46,1.6165275155799463e-05,8.082637577899732e-06,5.347797468857607e-06,5.926895596530812e-08,1.0880336276386515e-07,1.7227438320333022e-07,2.0293755369493738e-06
47,1.541757046652492e-05,7.70878523326246e-06,5.251657512417296e-06,2.645617058760763e-08,7.72037509477741e-08,8.233555348624577e-08,1.9378794604563154e-06
48,1.5004749911895487e-05,7.502374955947744e-06,5.1507936404959764e-06,2.2682222322600865e-08,6.475868019606423e-08,5.993481266841627e-08,1.8873085991799599e-06
49,1.4459767953667324e-05,7.229883976833662e-06,5.061493084212998e-06,6.1918101756930355e-09,4.6099764006157784e-08,7.456947059836239e-09,1.8123364498023875e-06
50,1.469229937356431e-05,7.346149686782155e-06,5.0442599786038045e-06,5.0507498627894165e-08,7.00579008139357e-08,1.458751057725749e-07,1.7534654261908145e-06
51,1.6216356016229838e-05,8.108178008114919e-06,5.204040917305974e-06,1.919029557484464e-07,1.7703030152915744e-07,6.28797124591074e-07,1.6470434047732851e-06
52,1.4206488231138792e-05,7.103244115569396e-06,4.9313457566313446e-06,6.020403020556842e-08,6.745809599806307e-08,1.7508993721548904e-07,1.6233412907240563e-06
53,1.3363365724217147e-05,6.681682862108573e-06,4.814314252143959e-06,1.397685078785571e-08,3.621040534085296e-08,3.3886767170088206e-08,1.560860255267471e-06
54,1.322182288276963e-05,6.610910531890113e-06,4.749663276015781e-06,2.4948251464707027e-08,4.091618777124495e-08,6.779390560041065e-08,1.5180568198047695e-06
55,1.2696759768004995e-05,6.348379884002497e-06,4.662848823500099e-06,4.694818755979213e-09,2.5570360051574426e-08,2.021561806841987e-09,1.458302676837775e-06
56,1.3340957593754865e-05,6.670478796877433e-06,4.672032446251251e-06,7.832380077843482e-08,7.219910003186669e-08,2.3652366110127332e-07,1.4255989526645862e-06
57,1.5643556253053248e-05,7.821777217031922e-06,4.885279849986546e-06,2.846414020041266e-07,2.3202356658202916e-07,9.117458716900728e-07,1.338620336355234e-06
58,1.2743547813443001e-05,6.371773906721501e-06,4.550520770862931e-06,6.895247395277693e-08,6.729089818691136e-08,2.0502518793819036e-07,1.3208992868385394e-06
59,1.2048928510921542e-05,6.0244651649554726e-06,4.427377461979631e-06,2.9267726020520968e-08,4.082362892177116e-08,7.773662957788474e-08,1.3038023780609365e-06
60,1.1579159036045894e-05,5.789579518022947e-06,4.342288320913212e-06,7.820442959882712e-09,3.116918989576334e-08,1.1252719644971876e-08,1.263215608560131e-06
61,1.1455098501755856e-05,5.727549250877928e-06,4.296021415939322e-06,1.5339779224632366e-08,3.8246966482802236e-08,3.440865015136296e-08,1.217997123603709e-06
62,1.1133757652714849e-05,5.5668779168627225e-06,4.228992111166008e-06,6.134637242638519e-09,3.3620377593024386e-08,4.427570310383544e-09,1.1769892580559826e-06
63,1.2074468941136729e-05,6.0372344705683645e-06,4.260982677806169e-06,1.0078858991846573e-07,9.731522254696756e-08,3.0755521152059373e-07,1.1592803730309242e-06
64,1.3015742297284305e-05,6.5078711486421525e-06,4.3329396248736884e-06,1.9460325972886494e-07,1.7990510059462395e-07,6.071155098652525e-07,1.0933024441328598e-06
65,1.1210158845642582e-05,5.605079422821291e-06,4.1051848711504135e-06,5.981058848192333e-08,7.266034884878536e-08,1.7409510633115133e-07,1.0977738611472887e-06
66,1.0587009455775842e-05,5.293504727887921e-06,4.019006155431271e-06,2.1213265810615667e-08,6.118420969869476e-08,5.14926732364529e-08,1.0569308415142586e-06
67,1.0440894584462512e-05,5.220446837483905e-06,3.949381152779097e-06,2.3021534900635743e-08,5.89232662662198e-08,5.711254047469083e-08,1.0516492920942255e-06
68,1.0870926416828297e-05,5.4354636631614994e-06,3.955808097089175e-06,7.266945090123045e-08,1.0039939013495314e-07,2.1524455462440528e-07,1.0167462960453122e-06
69,1.0585611562419217e-05,5.2928057812096085e-06,3.899142029695213e-06,6.21432576508596e-08,9.817303947556866e-08,1.8017360048361297e-07,9.841999144555302e-07
70,1.0671065865608398e-05,5.33553338755155e-06,3.8609287003055215e-06,8.235414838964061e-08,1.1394576659995437e-07,2.442650099965249e-07,9.695594371805782e-07
71,1.0993256182700861e-05,5.49662763660308e-06,3.852479494526051e-06,1.2152817419064377e-07,1.4853904417577724e-07,3.6843073303316487e-07,9.460741807743034e-07
72,9.552448318572715e-06,4.776224614033708e-06,3.6965814160794253e-06,1.1590389092930309e-08,7.923703293499784e-08,1.7583728251224784e-08,9.178089044326043e-07
73,9.41105008678278e-06,4.70552504339139e-06,3.6336145967652556e-06,1.1250856246647345e-08,7.797201106995999e-08,1.7452748579671606e-08,9.146963293460431e-07
74,1.4517726413032506e-05,7.258863206516253e-06,3.986822321166983e-06,4.590122841818811e-07,3.771407932617876e-07,1.4412117934625712e-06,9.399458917869197e-07
75,1.096388677979121e-05,5.481943389895605e-06,3.7120194065209944e-06,1.6337180852588062e-07,1.920170831226642e-07,4.997289124730742e-07,8.682711722940439e-07
76,9.839281119639054e-06,4.919640559819527e-06,3.5842824672727147e-06,7.749028441139671e-08,1.3658568320806808e-07,2.2198152294095053e-07,8.56870769894158e-07
77,9.307457730756141e-06,4.65372841063072e-06,3.4863837754528504e-06,4.062566105744736e-08,1.174223740463276e-07,1.0947801598604201e-07,8.613802719992236e-07
78,8.991185495688114e-06,4.495592747844057e-06,3.4248005249537528e-06,2.2796271537117718e-08,1.0970410357913352e-07,5.3054350246384274e-08,8.491790026710078e-07
79,8.778370101936162e-06,4.389185050968081e-06,3.3808119042078033e-06,1.420313466837797e-08,1.0579576326108509e-07,2.4644052132316574e-08,8.294804842989834e-07
80,8.592018275521696e-06,4.296009137760848e-06,3.339354407216888e-06,7.567083848414313e-09,1.0747568524038797e-07,3.463052511420983e-09,8.06663933872187e-07
81,8.569912097300403e-06,4.284956048650201e-06,3.3069018172682263e-06,1.4635868517132167e-08,1.1773222041711051e-07,2.562383905058141e-08,7.911754664746695e-07
82,8.489570063829888e-06,4.244785031914944e-06,3.26774465975177e-06,1.6681264369822202e-08,1.2275090455204918e-07,3.20737356673817e-08,7.788587481627474e-07
83,1.010532105283346e-05,5.052660071669379e-06,3.3511817036924185e-06,1.652561536502617e-07,2.1982842213219556e-07,5.041443387199251e-07,7.850011911614274e-07
84,1.0216227565251756e-05,5.108113782625878e-06,3.3575076940906e-06,1.812587555605205e-07,2.505743452729803e-07,5.534537876883405e-07,7.411693445646961e-07
85,8.656948011775967e-06,4.3284735511406325e-06,3.1859694900049362e-06,5.644301381835248e-08,1.4956899008211622e-07,1.5642440587271267e-07,7.56595568418561e-07
86,8.29621512821177e-06,4.148107564105885e-06,3.1364322694571456e-06,3.088887368107862e-08,1.493153547471593e-07,7.644531763162377e-08,7.351513886533212e-07
87,7.97669872554252e-06,3.98834936277126e-06,3.0721428174729226e-06,1.1926270637729885e-08,1.3326022951787309e-07,1.5567835021101928e-08,7.363101417467988e-07
88,9.095761015487369e-06,4.5478805077436846e-06,3.1261001822713297e-06,1.1671495059317749e-07,2.0274691792110389e-07,3.4815738558791054e-07,7.345956873905379e-07
89,9.865860192803666e-06,4.932929641654482e-06,3.1766917345521506e-06,1.8886359498537786e-07,2.660129609921569e-07,5.782865173387108e-07,7.046005521260668e-07
90,8.0922145571094e-06,4.046107733302051e-06,3.0046778647374595e-06,4.425026745025207e-08,1.600258627831863e-07,1.1675646760522795e-07,7.037846216917387e-07
91,8.264780262834392e-06,4.132390586164547e-06,2.9881166483392008e-06,6.507102057184966e-08,1.7913032479555113e-07,1.8270763746386365e-07,7.022699151093548e-07
92,7.601702236570418e-06,3.800851118285209e-06,2.9156506116123637e-06,1.3750575789117647e-08,1.5169092648648075e-07,2.1042815490091016e-08,6.853611012047622e-07
93,7.675565939280204e-06,3.837782969640102e-06,2.8897368338220986e-06,2.8196355472687173e-08,1.5769185779390682e-07,6.529113960596078e-08,6.838126864749938e-07
94,1.2816728485631756e-05,6.40836515231058e-06,3.2253719837171957e-06,4.820353751711082e-07,4.5961104433445144e-07,1.5141170024435269e-06,7.095898695297365e-07
95,8.625815098639578e-06,4.31290800406714e-06,2.9267141599120805e-06,1.2274004745904676e-07,2.2222980078367982e-07,3.654804174857418e-07,6.622063324357441e-07
96,8.063951099757105e-06,4.031975095131202e-06,2.860427912310115e-06,7.875014773617295e-08,1.9894493163974403e-07,2.2547528999439237e-07,6.56860663639236e-07
97,7.441104116878705e-06,3.720551831065677e-06,2.776056817310746e-06,3.048581120879135e-08,1.6543899050702748e-07,7.24922202266498e-08,6.65644563468959e-07
98,7.2354532676399685e-06,3.6177266338199843e-06,2.7355135898687877e-06,1.9142866847232654e-08,1.5730761049326247e-07,3.532268877393108e-08,6.605160365324991e-07
99,7.082371212163707e-06,3.5411856060818536e-06,2.710754188228748e-06,1.1435110636170975e-08,1.594182350572737e-07,1.1921921228008614e-08,6.388679025803867e-07
100,7.036831448203884e-06,3.518415724101942e-06,2.681254727576743e-06,1.4482957944039754e-08,1.5967329147770215e-07,2.0199133032861027e-08,6.345580345623603e-07
101,7.371328138106037e-06,3.6856640690530185e-06,2.6806096684595104e-06,4.963788668987945e-08,1.8492215758669772e-07,1.3288749300954805e-07,6.297333356997115e-07
102,9.021637197292875e-06,4.510818598646438e-06,2.769215143416659e-06,1.9949818863551627e-07,2.8352988579172234e-07,6.139422907835979e-07,6.356140715979564e-07
103,7.563610324723413e-06,3.7818051623617066e-06,2.6667260044632712e-06,7.59088720769796e-08,2.1157471508104209e-07,2.190123780110298e-07,6.014394671183254e-07
104,6.907941497047432e-06,3.453970748523716e-06,2.5793808617891045e-06,2.7254532852794e-08,1.6818343340219144e-07,6.0198637186204e-08,6.12586802617443e-07
105,7.536053544754395e-06,3.7680267723771976e-06,2.5945796551241074e-06,8.771210957547737e-08,2.0690153235136677e-07,2.530838401071378e-07,6.191546049194585e-07
106,9.238317943527363e-06,4.619158971763682e-06,2.7026749194192234e-06,2.384202559824189e-07,3.162384700772236e-07,7.440062859132013e-07,6.097433811191877e-07
107,6.939883405721048e-06,3.469941702860524e-06,2.527051492506871e-06,4.5338452991927625e-08,1.8384392319603649e-07,1.1896668183908332e-07,5.887886231903394e-07
108,6.931059033377096e-06,3.465529516688548e-06,2.4939572540461086e-06,5.089085419740513e-08,1.8169551196933753e-07,1.3369653117933922e-07,5.999227710162813e-07
109,6.902860150148626e-06,3.451430529821664e-06,2.4766757178440457e-06,5.150668513920209e-08,1.9033083731301303e-07,1.404162475182602e-07,5.874452426724019e-07
110,6.584244147234131e-06,3.2921220736170653e-06,2.43250178755261e-06,3.043101060029585e-08,1.7310743771759007e-07,6.993414558564837e-08,5.815469421577291e-07
111,9.839041922532488e-06,4.919520961266244e-06,2.6151551537623163e-06,3.2083192991194665e-07,3.594652753236005e-07,1.0086585007229587e-06,6.080326215851528e-07
112,8.373298442165833e-06,4.1866492210829165e-06,2.534000486775767e-06,1.919735410638168e-07,2.9190067607487435e-07,6.012750191075611e-07,5.61395779641316e-07
113,6.815489996370161e-06,3.4077449981850805e-06,2.3892396256997017e-06,6.667570318086291e-08,1.8669962287276576e-07,1.8293164316673938e-07,5.775871159130475e-07
114,6.2700278249394614e-06,3.1350139124697307e-06,2.332785243197577e-06,2.162589929355363e-08,1.660313984075401e-07,4.2733962146712656e-08,5.679572154804191e-07
115,6.3057786974241026e-06,3.1528893487120513e-06,2.3137961306929355e-06,3.0457979249831624e-08,1.701372269735657e-07,6.898357440832115e-08,5.659476869368518e-07
116,6.028312782291323e-06,3.0141563911456615e-06,2.2811561848357087e-06,1.0907846181851255e-08,1.6018120163607819e-07,7.350535291550386e-09,5.511445806405391e-07
117,6.112585651862901e-06,3.056292598557775e-06,2.262018142573652e-06,2.4697605738310813e-08,1.658618060673689e-07,4.980310919222575e-08,5.506794877874199e-07
118,1.1062295925512444e-05,5.531147962756222e-06,2.546786163293291e-06,4.6109758500278986e-07,4.514304521308077e-07,1.4746781289431965e-06,5.89751778079517e-07
119,8.007220458239317e-06,4.003609774372308e-06,2.372593144173152e-06,1.9381982951927057e-07,2.863733072899777e-07,6.118994519965781e-07,5.335770651981875e-07
120,6.539141395478509e-06,3.2695706977392547e-06,2.2497195004689274e-06,7.375086141792053e-08,1.9388143357446097e-07,2.1007545569773356e-07,5.38550523287995e-07
121,6.113207746238913e-06,3.0566038731194567e-06,2.1862338144273963e-06,4.27942019598504e-08,1.6835376470680785e-07,1.0520717097506349e-07,5.506000206878525e-07
122,5.764477919001365e-06,2.8822389595006825e-06,2.1529497189476388e-06,1.4775364043373429e-08,1.5754231696973875e-07,2.003738153177892e-08,5.340621100913268e-07
123,5.747537215938792e-06,2.873768607969396e-06,2.1346820631151786e-06,1.9029195996722592e-08,1.5849363421693852e-07,3.137387949436743e-08,5.274209797789808e-07
124,5.5856830840639304e-06,2.7928417694056407e-06,2.1061330244265264e-06,9.695590108549368e-09,1.5407482578666531e-07,1.8210727370515656e-09,5.182895961297618e-07
125,5.688125384040177e-06,2.8440626920200884e-06,2.08945243684866e-06,2.4507176732413427e-08,1.6129713742429885e-07,4.8039133559996117e-08,5.181354367778113e-07
126,9.005575520859566e-06,4.502787760429783e-06,2.268855951115256e-06,3.1750599305269134e-07,3.5260723052488174e-07,1.0144236739506596e-06,5.439752612801385e-07
127,7.972413186507765e-06,3.9862070480012335e-06,2.222286184405675e-06,2.248354462608404e-07,3.063089195620705e-07,7.25298434645083e-07,5.021715878683608e-07
128,6.120478701632237e-06,3.0602393508161185e-06,2.0683646653196774e-06,7.647540201105585e-08,1.8251719779982523e-07,2.1320794019175082e-07,5.165798029338475e-07
129,5.512331426871242e-06,2.756165713435621e-06,2.0145178041275358e-06,2.433511703259228e-08,1.58071472355914e-07,5.1545676171826926e-08,5.047300533078669e-07
130,5.4894230743229855e-06,2.7447115371614927e-06,1.992070565393078e-06,2.8266690321743226e-08,1.5702035227604938e-07,5.952969672762265e-08,5.051006723988394e-07
131,5.253652489045635e-06,2.626826471896493e-06,1.9646038253995357e-06,1.1460469906410253e-08,1.49091576417959e-07,7.317554118202452e-09,4.913881639367901e-07
132,5.236906417849241e-06,2.6184532089246204e-06,1.9412730125623057e-06,1.5980509360247197e-08,1.491001739850617e-07,1.892675705050806e-08,4.903428703073587e-07
133,8.51285039971117e-06,4.2564256546029355e-06,2.1097271201142576e-06,3.049637200547295e-07,3.371521017925261e-07,9.78715434030164e-07,5.205345132708317e-07
134,9.872744158201385e-06,4.936372079100693e-06,2.2111612452135887e-06,4.155539841121936e-07,4.3143802486156346e-07,1.3784980410491698e-06,4.922584935229679e-07
135,6.067638423701283e-06,3.0338192118506413e-06,1.9552887806639774e-06,1.0022574770118808e-07,1.9211800861285155e-07,2.930023867975251e-07,4.896716632174503e-07
136,5.448867341328878e-06,2.724433670664439e-06,1.8904527223639889e-06,4.9814669722536564e-08,1.60532692916604e-07,1.2813119099064352e-07,4.92096319248958e-07
137,5.10482141180546e-06,2.5524104785290547e-06,1.8582491065899376e-06,2.138207655377755e-08,1.4917694102223322e-07,4.155694810492605e-08,4.78957872473984e-07
138,4.997699306841241e-06,2.498849880794296e-06,1.8351547623751685e-06,1.7712975974859546e-08,1.442696913045438e-07,2.5136515091617184e-08,4.7328282448688697e-07
139,4.86608587380033e-06,2.433042936900165e-06,1.8091803895003977e-06,1.0810969897079303e-08,1.4065533093798877e-07,2.8937012785945626e-09,4.6594388436460576e-07
140,4.913974407827482e-06,2.45698674916639e-06,1.7930053672898794e-06,1.9906714499029476e-08,1.459976601836388e-07,3.116370805855695e-08,4.6340184667315043e-07
141,5.292148671287578e-06,2.646074335643789e-06,1.7980011079998803e-06,5.691869731094812e-08,1.6983112516300025e-07,1.5524045693382504e-07,4.6195461322895426e-07
142,8.32903606351465e-06,4.164518031757325e-06,1.956412461368018e-06,3.2084631129691843e-07,3.476482675068837e-07,1.050872356245236e-06,4.821643528885033e-07
143,5.92395872445195e-06,2.9619795895996504e-06,1.821497448872833e-06,1.1314524073213761e-07,2.140272812312105e-07,3.6559546856551606e-07,4.4240661623007327e-07
144,5.0645508054003585e-06,2.532275175326504e-06,1.7372183265251806e-06,5.1076284535156447e-08,1.5438556033586792e-07,1.271630907240251e-07,4.586211446166999e-07
145,4.880147571384441e-06,2.440073558318545e-06,1.7155825844383799e-06,3.445065388518742e-08,1.530251267922722e-07,8.665278983244207e-08,4.459161857539584e-07
