Epoch;Composite Loss;PDE Loss;w0 Loss;wx0 Loss;wL Loss;wxxL Loss;wxxxL Loss
62;6,16E-05;3,08E-05;2,62E-05;1,71E-07;9,58E-07;3,72E-07;9,15E-07
63;6,07E-05;3,04E-05;2,59E-05;1,62E-07;9,16E-07;3,56E-07;9,26E-07
64;5,97E-05;2,99E-05;2,55E-05;1,52E-07;8,68E-07;3,37E-07;9,44E-07
65;5,86E-05;2,93E-05;2,50E-05;1,41E-07;8,15E-07;3,16E-07;9,72E-07
66;5,73E-05;2,86E-05;2,44E-05;1,29E-07;7,54E-07;2,93E-07;1,01E-06
67;5,58E-05;2,79E-05;2,37E-05;1,15E-07;6,86E-07;2,67E-07;1,07E-06
68;5,40E-05;2,70E-05;2,29E-05;1,01E-07;6,09E-07;2,39E-07;1,16E-06
69;5,21E-05;2,60E-05;2,20E-05;8,51E-08;5,23E-07;2,08E-07;1,27E-06
70;4,99E-05;2,49E-05;2,08E-05;6,93E-08;4,30E-07;1,76E-07;1,43E-06
71;4,75E-05;2,37E-05;1,95E-05;5,37E-08;3,32E-07;1,42E-07;1,62E-06
72;4,50E-05;2,25E-05;1,81E-05;3,92E-08;2,34E-07;1,10E-07;1,84E-06
73;4,26E-05;2,13E-05;1,67E-05;2,63E-08;1,45E-07;7,80E-08;2,07E-06
74;4,03E-05;2,02E-05;1,53E-05;1,50E-08;7,02E-08;4,90E-08;2,28E-06
75;3,83E-05;1,92E-05;1,41E-05;6,12E-09;1,90E-08;2,50E-08;2,42E-06
76;3,66E-05;1,83E-05;1,30E-05;1,18E-09;1,93E-09;9,12E-09;2,48E-06
77;3,53E-05;1,76E-05;1,21E-05;5,25E-10;1,45E-08;3,35E-09;2,46E-06
78;3,42E-05;1,71E-05;1,15E-05;3,49E-09;4,87E-08;8,51E-09;2,37E-06
79;3,33E-05;1,67E-05;1,10E-05;8,43E-09;9,03E-08;1,98E-08;2,25E-06
80;3,27E-05;1,63E-05;1,06E-05;1,45E-08;1,35E-07;3,80E-08;2,11E-06
81;3,22E-05;1,61E-05;1,03E-05;2,09E-08;1,78E-07;6,28E-08;1,96E-06
82;3,18E-05;1,59E-05;1,01E-05;2,75E-08;2,22E-07;9,48E-08;1,82E-06
83;3,16E-05;1,58E-05;9,94E-06;3,40E-08;2,65E-07;1,33E-07;1,70E-06
84;3,15E-05;1,57E-05;9,82E-06;4,05E-08;3,09E-07;1,72E-07;1,60E-06
85;3,14E-05;1,57E-05;9,73E-06;4,66E-08;3,50E-07;2,03E-07;1,52E-06
86;3,12E-05;1,56E-05;9,64E-06;5,10E-08;3,74E-07;2,13E-07;1,46E-06
87;3,10E-05;1,55E-05;9,57E-06;5,27E-08;3,73E-07;1,86E-07;1,42E-06
88;3,07E-05;1,54E-05;9,49E-06;5,19E-08;3,52E-07;1,38E-07;1,38E-06
89;3,05E-05;1,52E-05;9,42E-06;5,18E-08;3,41E-07;1,13E-07;1,36E-06
90;3,04E-05;1,52E-05;9,36E-06;5,49E-08;3,62E-07;1,21E-07;1,34E-06
91;3,03E-05;1,52E-05;9,30E-06;5,71E-08;3,75E-07;1,24E-07;1,33E-06
92;3,04E-05;1,52E-05;9,25E-06;6,05E-08;4,03E-07;1,57E-07;1,32E-06
93;3,06E-05;1,53E-05;9,20E-06;6,67E-08;4,61E-07;2,42E-07;1,32E-06
94;3,11E-05;1,56E-05;9,16E-06;7,62E-08;5,58E-07;4,32E-07;1,32E-06
