Epoch,Composite Loss,output_1_loss_Loss_CantileverPINN,output_1_loss_Loss_CantileverPINN_tuned,output_2_loss_Loss_CantileverPINN,output_2_loss_Loss_CantileverPINN_tuned,output_3_loss_Loss_CantileverPINN,output_3_loss_Loss_CantileverPINN_tuned,output_4_loss_Loss_CantileverPINN,output_4_loss_Loss_CantileverPINN_tuned,output_5_loss_Loss_CantileverPINN,output_5_loss_Loss_CantileverPINN_tuned,output_6_loss_Loss_CantileverPINN,output_6_loss_Loss_CantileverPINN_tuned
46,2.2198573788045906e-06,1.1099286894022953e-06,4.8601355047139805e-06,2.439682873500715e-07,5.540783831747831e-07,3.3691708267724607e-07,4.2852202568610664e-06,4.853907284996239e-07,4.6443837664611465e-10,3.004396020855893e-08,1.4402651515865728e-08,1.3609025018013199e-08,5.969910343850415e-09
47,3.1016313641885063e-06,1.5508156820942531e-06,5.462692115543177e-06,2.804127348099428e-07,5.479622586790356e-07,4.876379762208671e-07,4.894935500487918e-06,7.251096008076274e-07,4.300337308471569e-10,3.884021282374306e-08,1.4107039980615355e-08,1.8815192959209526e-08,5.25707344323223e-09
48,3.8462130760308355e-06,1.923106765389093e-06,5.052009782957612e-06,3.47695106484025e-07,5.413783128460636e-07,4.5021809569334437e-07,4.490735591389239e-06,1.04460696093156e-06,5.029517358146052e-10,5.519201096149118e-08,1.3755228067680036e-08,2.5394053082550272e-08,5.6410693893838015e-09
49,2.771472281892784e-06,1.385736140946392e-06,4.392219125293195e-06,2.3147687500113534e-07,5.353272172214929e-07,5.116846750752302e-07,3.838073098449968e-06,5.962420459582063e-07,4.3452119680154055e-10,3.2702594410238817e-08,1.3160017076074837e-08,1.3629468220699437e-08,5.226026722482402e-09
50,3.7024394714535447e-06,1.8512197357267723e-06,5.01536078445497e-06,3.146776066387247e-07,5.28937221133674e-07,4.937269295623992e-07,4.467105100047775e-06,9.695633025330608e-07,4.1592948529789453e-10,4.9352120612411454e-08,1.3441118440482569e-08,2.38994264378789e-08,5.463366647973089e-09
51,3.1395877613249468e-06,1.5697938806624734e-06,4.438213181856554e-06,2.671658023700729e-07,5.228502573118021e-07,3.807666075772431e-07,3.896842827089131e-06,8.554260375603917e-07,3.985963226149636e-10,4.677406550968044e-08,1.2794365567003751e-08,1.9661339223375762e-08,5.322818630304482e-09
52,2.604306246212218e-06,1.302153123106109e-06,5.272049293125747e-06,2.008780768392171e-07,5.167869971955952e-07,5.936151978858106e-07,4.736588380183093e-06,4.6753791593801e-07,4.2471243189012853e-10,2.807564136730889e-08,1.2973431218199494e-08,1.2046171171675724e-08,5.277777770373859e-09
53,2.575994358267053e-06,1.2879971791335265e-06,4.568380973068997e-06,2.523786974961695e-07,5.126426003698725e-07,3.29402894294617e-07,4.037844973936444e-06,6.506394356620149e-07,4.4605427684807353e-10,3.615187083028104e-08,1.226278101285061e-08,1.9424504671405884e-08,5.183635742866954e-09
54,3.1018032586871414e-06,1.5509016293435707e-06,4.2187075450783595e-06,2.545747292970191e-07,5.067680604042835e-07,5.744194027101912e-07,3.693965481943451e-06,6.702108521494665e-07,4.659994612410401e-10,3.433946815789568e-08,1.2177512331845719e-08,1.7357114856508815e-08,5.332412733594083e-09
55,2.430204176562256e-06,1.215102088281128e-06,4.201904175715754e-06,2.0805401845791494e-07,5.012247470403963e-07,3.3818977840383013e-07,3.6829169403063133e-06,6.18376020611322e-07,5.181998163905632e-10,3.584038310577853e-08,1.1965949120451569e-08,1.464213816859683e-08,5.276981962509808e-09
